candidate_id,candidate_source,date,decision_timestamp,diagnostic_outcome_group,diagnostic_outcome_mapping_reason,direction,direction_confidence,direction_rule_version,direction_source,entry_price,fvg_ifvg_near_20p,hour,liquidity_htf_recent_level,m1_body_ratio,m1_close_high_ge_0_70,m1_close_location,m1_large_body_ge_0_60,nearest_fvg_ifvg_distance_pips,nearest_fvg_ifvg_zone_high,nearest_fvg_ifvg_zone_low,nearest_fvg_ifvg_zone_type,nearest_liquidity_distance_pips,nearest_liquidity_level,nearest_liquidity_type_timeframe,pre_entry_only,sample_id,sample_source,session,symbol,used_post_entry_data_for_direction,visual_html_path
sample_082,SWEEP_EXTREME,2026-02-05,2026-02-05T01:30:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,5017.32,False,1,True,0.248908,False,0.28821,False,120.2,5005.3,4999.18,FVG_BULLISH,40.6,5021.38,M15_RECENT_HIGH,True,sample_082,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_082.html
sample_085,ROUND_LEVEL,2026-03-04,2026-03-04T18:45:00+00:00,CHOP_AFTER_ENTRY,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_WITH_DIRTY_CHOP,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,5150.0,True,18,True,0.95528,False,0.016149,True,0.0,5152.31,5144.25,FVG_BEARISH,187.0,5131.3,M15_RECENT_LOW,True,sample_085,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_085.html
sample_089,ROUND_LEVEL,2026-04-06,2026-04-06T06:15:00+00:00,CHOP_AFTER_ENTRY,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_WITH_DIRTY_CHOP,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,4630.0,False,6,False,0.547672,True,1.0,False,20.7,4637.7,4632.07,FVG_BULLISH,95.5,4620.45,M5_RECENT_LOW,True,sample_089,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_089.html
sample_092,ROUND_LEVEL,2026-05-05,2026-05-05T01:15:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,4520.0,True,1,False,0.698864,False,0.079545,True,0.0,4520.62,4518.96,FVG_BEARISH,22.1,4517.79,M5_RECENT_LOW,True,sample_092,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_092.html
sample_093,SWEEP_EXTREME,2026-05-05,2026-05-05T05:45:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,4543.79,False,5,True,0.678571,False,0.232143,True,36.5,4540.14,4538.31,FVG_BULLISH,20.3,4545.82,M15_RECENT_HIGH,True,sample_093,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_093.html
sample_094,ROUND_LEVEL,2026-02-05,2026-02-05T08:15:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,4930.0,True,8,False,0.599719,False,0.400281,False,0.0,4932.09,4922.08,FVG_BEARISH,95.1,4920.49,M5_RECENT_HIGH,True,sample_094,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON_OPEN,XAUUSD,False,examples/sample_094.html
sample_095,SWEEP_EXTREME,2026-02-05,2026-02-05T13:45:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,4894.57,True,13,False,0.356725,False,0.435673,False,0.0,4903.6,4888.69,FVG_BEARISH,0.0,4894.57,M5_RECENT_HIGH,True,sample_095,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK,XAUUSD,False,examples/sample_095.html
sample_098,ROUND_LEVEL,2026-03-05,2026-03-05T09:30:00+00:00,CHOP_AFTER_ENTRY,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_WITH_DIRTY_CHOP,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,5160.0,True,9,False,0.755319,True,0.755319,True,0.7,5162.04,5160.07,FVG_BEARISH,143.8,5174.38,M5_RECENT_HIGH,True,sample_098,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_098.html
sample_099,SWEEP_EXTREME,2026-03-05,2026-03-05T14:15:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,5171.53,True,14,False,0.966555,False,0.016722,True,0.0,5173.01,5167.73,FVG_BULLISH,0.0,5171.53,M5_RECENT_HIGH,True,sample_099,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK_OPEN,XAUUSD,False,examples/sample_099.html
sample_102,ROUND_LEVEL,2026-04-06,2026-04-06T11:00:00+00:00,CHOP_AFTER_ENTRY,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_WITH_DIRTY_CHOP,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,4690.0,False,11,True,0.510949,False,0.375912,False,94.6,4680.54,4672.19,FVG_BULLISH,17.1,4688.29,H1_RECENT_HIGH,True,sample_102,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK,XAUUSD,False,examples/sample_102.html
